Geography_Code,Geography_Name,Time_Period,Date,Value,Dataset,Measure,Year,Month,Quarter,Month_Name,Previous_Value,Growth_Rate,Category
UK_TOTAL,United Kingdom,2015 Aug,2015-08-01,98139.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2015,8,3,August,,,
UK_TOTAL,United Kingdom,2015 Sep,2015-09-01,111297.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2015,9,3,September,98139.0,13.41,
UK_TOTAL,United Kingdom,2015 Oct,2015-10-01,124950.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2015,10,4,October,111297.0,12.27,
UK_TOTAL,United Kingdom,2015 Nov,2015-11-01,141142.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2015,11,4,November,124950.0,12.96,
UK_TOTAL,United Kingdom,2015 Dec,2015-12-01,155999.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2015,12,4,December,141142.0,10.53,
UK_TOTAL,United Kingdom,2016 Jan,2016-01-01,175187.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,1,1,January,155999.0,12.3,
UK_TOTAL,United Kingdom,2016 Feb,2016-02-01,200044.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,2,1,February,175187.0,14.19,
UK_TOTAL,United Kingdom,2016 Mar,2016-03-01,220652.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,3,1,March,200044.0,10.3,
UK_TOTAL,United Kingdom,2016 Apr,2016-04-01,241792.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,4,2,April,220652.0,9.58,
UK_TOTAL,United Kingdom,2016 May,2016-05-01,260189.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,5,2,May,241792.0,7.61,
UK_TOTAL,United Kingdom,2016 Jun,2016-06-01,279309.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,6,2,June,260189.0,7.35,
UK_TOTAL,United Kingdom,2016 Jul,2016-07-01,309685.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,7,3,July,279309.0,10.88,
UK_TOTAL,United Kingdom,2016 Aug,2016-08-01,336291.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,8,3,August,309685.0,8.59,
UK_TOTAL,United Kingdom,2016 Sep,2016-09-01,357678.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,9,3,September,336291.0,6.36,
UK_TOTAL,United Kingdom,2016 Oct,2016-10-01,383687.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,10,4,October,357678.0,7.27,
UK_TOTAL,United Kingdom,2016 Nov,2016-11-01,398644.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,11,4,November,383687.0,3.9,
UK_TOTAL,United Kingdom,2016 Dec,2016-12-01,412536.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2016,12,4,December,398644.0,3.48,
UK_TOTAL,United Kingdom,2017 Jan,2017-01-01,426099.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,1,1,January,412536.0,3.29,
UK_TOTAL,United Kingdom,2017 Feb,2017-02-01,451876.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,2,1,February,426099.0,6.05,
UK_TOTAL,United Kingdom,2017 Mar,2017-03-01,466841.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,3,1,March,451876.0,3.31,
UK_TOTAL,United Kingdom,2017 Apr,2017-04-01,485836.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,4,2,April,466841.0,4.07,
UK_TOTAL,United Kingdom,2017 May,2017-05-01,494852.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,5,2,May,485836.0,1.86,
UK_TOTAL,United Kingdom,2017 Jun,2017-06-01,506978.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,6,2,June,494852.0,2.45,
UK_TOTAL,United Kingdom,2017 Jul,2017-07-01,526407.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,7,3,July,506978.0,3.83,
UK_TOTAL,United Kingdom,2017 Aug,2017-08-01,550654.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,8,3,August,526407.0,4.61,
UK_TOTAL,United Kingdom,2017 Sep,2017-09-01,575874.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,9,3,September,550654.0,4.58,
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,597848.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,10,4,October,575874.0,3.82,
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,623890.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,11,4,November,597848.0,4.36,
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,661269.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2017,12,4,December,623890.0,5.99,
UK_TOTAL,United Kingdom,2018 Jan,2018-01-01,686614.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,1,1,January,661269.0,3.83,
UK_TOTAL,United Kingdom,2018 Feb,2018-02-01,725844.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,2,1,February,686614.0,5.71,
UK_TOTAL,United Kingdom,2018 Mar,2018-03-01,762699.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,3,1,March,725844.0,5.08,
UK_TOTAL,United Kingdom,2018 Apr,2018-04-01,802875.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,4,2,April,762699.0,5.27,
UK_TOTAL,United Kingdom,2018 May,2018-05-01,837361.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,5,2,May,802875.0,4.3,
UK_TOTAL,United Kingdom,2018 Jun,2018-06-01,885225.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,6,2,June,837361.0,5.72,
UK_TOTAL,United Kingdom,2018 Jul,2018-07-01,937976.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,7,3,July,885225.0,5.96,
UK_TOTAL,United Kingdom,2018 Aug,2018-08-01,1006409.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,8,3,August,937976.0,7.3,
UK_TOTAL,United Kingdom,2018 Sep,2018-09-01,1094980.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,9,3,September,1006409.0,8.8,
UK_TOTAL,United Kingdom,2018 Oct,2018-10-01,1175651.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,10,4,October,1094980.0,7.37,
UK_TOTAL,United Kingdom,2018 Nov,2018-11-01,1265215.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,11,4,November,1175651.0,7.62,
UK_TOTAL,United Kingdom,2018 Dec,2018-12-01,1389393.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2018,12,4,December,1265215.0,9.81,
UK_TOTAL,United Kingdom,2019 Jan,2019-01-01,1471234.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,1,1,January,1389393.0,5.89,
UK_TOTAL,United Kingdom,2019 Feb,2019-02-01,1561590.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,2,1,February,1471234.0,6.14,
UK_TOTAL,United Kingdom,2019 Mar,2019-03-01,1653205.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,3,1,March,1561590.0,5.87,
UK_TOTAL,United Kingdom,2019 Apr,2019-04-01,1749082.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,4,2,April,1653205.0,5.8,
UK_TOTAL,United Kingdom,2019 May,2019-05-01,1820786.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,5,2,May,1749082.0,4.1,
UK_TOTAL,United Kingdom,2019 Jun,2019-06-01,1921540.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,6,2,June,1820786.0,5.53,
UK_TOTAL,United Kingdom,2019 Jul,2019-07-01,2006173.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,7,3,July,1921540.0,4.4,
UK_TOTAL,United Kingdom,2019 Aug,2019-08-01,2086816.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,8,3,August,2006173.0,4.02,
UK_TOTAL,United Kingdom,2019 Sep,2019-09-01,2181322.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,9,3,September,2086816.0,4.53,
UK_TOTAL,United Kingdom,2019 Oct,2019-10-01,2257844.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,10,4,October,2181322.0,3.51,
UK_TOTAL,United Kingdom,2019 Nov,2019-11-01,2343563.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,11,4,November,2257844.0,3.8,
UK_TOTAL,United Kingdom,2019 Dec,2019-12-01,2404766.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2019,12,4,December,2343563.0,2.61,
UK_TOTAL,United Kingdom,2020 Jan,2020-01-01,2454589.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2020,1,1,January,2404766.0,2.07,
UK_TOTAL,United Kingdom,2020 Feb,2020-02-01,2575569.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2020,2,1,February,2454589.0,4.93,
UK_TOTAL,United Kingdom,2020 Mar,2020-03-01,2699668.0,Households on Universal Credit_Households on Universal Credit,V_F_UC_HOUSEHOLDS,2020,3,1,March,2575569.0,4.82,
