Geography_Code,Geography_Name,Time_Period,Date,Value,Dataset,Data_Type,Measure,Year,Month,Quarter,Month_Name,Previous_Value,Growth_Rate,Category,demographic_type,demographic_field
UK_TOTAL,United Kingdom,2015 Aug,2015-08-01,98139.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2015,8,3,August,,,,,
UK_TOTAL,United Kingdom,2015 Sep,2015-09-01,111297.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2015,9,3,September,98139.0,13.41,,,
UK_TOTAL,United Kingdom,2015 Oct,2015-10-01,124950.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2015,10,4,October,111297.0,12.27,,,
UK_TOTAL,United Kingdom,2015 Nov,2015-11-01,141142.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2015,11,4,November,124950.0,12.96,,,
UK_TOTAL,United Kingdom,2015 Dec,2015-12-01,155999.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2015,12,4,December,141142.0,10.53,,,
UK_TOTAL,United Kingdom,2016 Jan,2016-01-01,175187.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,1,1,January,155999.0,12.3,,,
UK_TOTAL,United Kingdom,2016 Feb,2016-02-01,200044.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,2,1,February,175187.0,14.19,,,
UK_TOTAL,United Kingdom,2016 Mar,2016-03-01,220652.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,3,1,March,200044.0,10.3,,,
UK_TOTAL,United Kingdom,2016 Apr,2016-04-01,241792.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,4,2,April,220652.0,9.58,,,
UK_TOTAL,United Kingdom,2016 May,2016-05-01,260189.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,5,2,May,241792.0,7.61,,,
UK_TOTAL,United Kingdom,2016 Jun,2016-06-01,279309.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,6,2,June,260189.0,7.35,,,
UK_TOTAL,United Kingdom,2016 Jul,2016-07-01,309685.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,7,3,July,279309.0,10.88,,,
UK_TOTAL,United Kingdom,2016 Aug,2016-08-01,336291.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,8,3,August,309685.0,8.59,,,
UK_TOTAL,United Kingdom,2016 Sep,2016-09-01,357678.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,9,3,September,336291.0,6.36,,,
UK_TOTAL,United Kingdom,2016 Oct,2016-10-01,383687.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,10,4,October,357678.0,7.27,,,
UK_TOTAL,United Kingdom,2016 Nov,2016-11-01,398644.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,11,4,November,383687.0,3.9,,,
UK_TOTAL,United Kingdom,2016 Dec,2016-12-01,412536.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2016,12,4,December,398644.0,3.48,,,
UK_TOTAL,United Kingdom,2017 Jan,2017-01-01,426099.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2017,1,1,January,412536.0,3.29,,,
UK_TOTAL,United Kingdom,2017 Feb,2017-02-01,451876.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2017,2,1,February,426099.0,6.05,,,
UK_TOTAL,United Kingdom,2017 Mar,2017-03-01,466841.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2017,3,1,March,451876.0,3.31,,,
UK_TOTAL,United Kingdom,2017 Apr,2017-04-01,485836.0,households_total,households_total,V_F_UC_HOUSEHOLDS,2017,4,2,April,466841.0,4.07,,,
