Geography_Code,Geography_Name,Time_Period,Value,Dataset,Measure,Benefit_Type,Date
E06000047,County Durham,June 2023,47377.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000047,County Durham,July 2023,47863.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000047,County Durham,August 2023,48461.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000047,County Durham,September 2023,49454.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000047,County Durham,October 2023,50667.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000047,County Durham,November 2023,51431.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,June 2023,9906.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,July 2023,9965.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,August 2023,10064.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,September 2023,10243.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,October 2023,10482.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000005,Darlington,November 2023,10652.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,June 2023,12379.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,July 2023,12505.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,August 2023,12580.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,September 2023,12762.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,October 2023,12977.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000001,Hartlepool,November 2023,13104.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,June 2023,18856.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,July 2023,18955.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,August 2023,19094.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,September 2023,19336.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,October 2023,19739.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000002,Middlesbrough,November 2023,19930.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
E06000057,Northumberland,June 2023,22687.0,uc_households_regional,str:count:UC_Households:V_F_UC_HOUSEHOLDS,Universal Credit,
