Geography_Code,Geography_Name,Time_Period,Date,Value,Dataset,Year,Month,Quarter,Month_Name,Region,Previous_Value,Growth_Rate
UK_TOTAL,United Kingdom,2015 Aug,2015-08-01,98139.0,households,2015,8,3,August,United Kingdom,,
UK_TOTAL,United Kingdom,2015 Sep,2015-09-01,111297.0,households,2015,9,3,September,United Kingdom,98139.0,13.41
UK_TOTAL,United Kingdom,2015 Oct,2015-10-01,124950.0,households,2015,10,4,October,United Kingdom,111297.0,12.27
UK_TOTAL,United Kingdom,2015 Nov,2015-11-01,141142.0,households,2015,11,4,November,United Kingdom,124950.0,12.96
UK_TOTAL,United Kingdom,2015 Dec,2015-12-01,155999.0,households,2015,12,4,December,United Kingdom,141142.0,10.53
UK_TOTAL,United Kingdom,2016 Jan,2016-01-01,175187.0,households,2016,1,1,January,United Kingdom,155999.0,12.3
UK_TOTAL,United Kingdom,2016 Feb,2016-02-01,200044.0,households,2016,2,1,February,United Kingdom,175187.0,14.19
UK_TOTAL,United Kingdom,2016 Mar,2016-03-01,220652.0,households,2016,3,1,March,United Kingdom,200044.0,10.3
UK_TOTAL,United Kingdom,2016 Apr,2016-04-01,241792.0,households,2016,4,2,April,United Kingdom,220652.0,9.58
UK_TOTAL,United Kingdom,2016 May,2016-05-01,260189.0,households,2016,5,2,May,United Kingdom,241792.0,7.61
UK_TOTAL,United Kingdom,2016 Jun,2016-06-01,279309.0,households,2016,6,2,June,United Kingdom,260189.0,7.35
UK_TOTAL,United Kingdom,2016 Jul,2016-07-01,309685.0,households,2016,7,3,July,United Kingdom,279309.0,10.88
UK_TOTAL,United Kingdom,2016 Aug,2016-08-01,336291.0,households,2016,8,3,August,United Kingdom,309685.0,8.59
UK_TOTAL,United Kingdom,2016 Sep,2016-09-01,357678.0,households,2016,9,3,September,United Kingdom,336291.0,6.36
UK_TOTAL,United Kingdom,2016 Oct,2016-10-01,383687.0,households,2016,10,4,October,United Kingdom,357678.0,7.27
UK_TOTAL,United Kingdom,2016 Nov,2016-11-01,398644.0,households,2016,11,4,November,United Kingdom,383687.0,3.9
UK_TOTAL,United Kingdom,2016 Dec,2016-12-01,412536.0,households,2016,12,4,December,United Kingdom,398644.0,3.48
UK_TOTAL,United Kingdom,2017 Jan,2017-01-01,426099.0,households,2017,1,1,January,United Kingdom,412536.0,3.29
UK_TOTAL,United Kingdom,2017 Feb,2017-02-01,451876.0,households,2017,2,1,February,United Kingdom,426099.0,6.05
UK_TOTAL,United Kingdom,2017 Mar,2017-03-01,466841.0,households,2017,3,1,March,United Kingdom,451876.0,3.31
UK_TOTAL,United Kingdom,2017 Apr,2017-04-01,485836.0,households,2017,4,2,April,United Kingdom,466841.0,4.07
UK_TOTAL,United Kingdom,2017 May,2017-05-01,494852.0,households,2017,5,2,May,United Kingdom,485836.0,1.86
UK_TOTAL,United Kingdom,2017 Jun,2017-06-01,506978.0,households,2017,6,2,June,United Kingdom,494852.0,2.45
UK_TOTAL,United Kingdom,2017 Jul,2017-07-01,526407.0,households,2017,7,3,July,United Kingdom,506978.0,3.83
UK_TOTAL,United Kingdom,2017 Aug,2017-08-01,550654.0,households,2017,8,3,August,United Kingdom,526407.0,4.61
UK_TOTAL,United Kingdom,2017 Sep,2017-09-01,575874.0,households,2017,9,3,September,United Kingdom,550654.0,4.58
UK_TOTAL,United Kingdom,2017 Oct,2017-10-01,597848.0,households,2017,10,4,October,United Kingdom,575874.0,3.82
UK_TOTAL,United Kingdom,2017 Nov,2017-11-01,623890.0,households,2017,11,4,November,United Kingdom,597848.0,4.36
UK_TOTAL,United Kingdom,2017 Dec,2017-12-01,661269.0,households,2017,12,4,December,United Kingdom,623890.0,5.99
UK_TOTAL,United Kingdom,2018 Jan,2018-01-01,686614.0,households,2018,1,1,January,United Kingdom,661269.0,3.83
UK_TOTAL,United Kingdom,2018 Feb,2018-02-01,725844.0,households,2018,2,1,February,United Kingdom,686614.0,5.71
UK_TOTAL,United Kingdom,2018 Mar,2018-03-01,762699.0,households,2018,3,1,March,United Kingdom,725844.0,5.08
UK_TOTAL,United Kingdom,2018 Apr,2018-04-01,802875.0,households,2018,4,2,April,United Kingdom,762699.0,5.27
UK_TOTAL,United Kingdom,2018 May,2018-05-01,837361.0,households,2018,5,2,May,United Kingdom,802875.0,4.3
UK_TOTAL,United Kingdom,2018 Jun,2018-06-01,885225.0,households,2018,6,2,June,United Kingdom,837361.0,5.72
UK_TOTAL,United Kingdom,2018 Jul,2018-07-01,937976.0,households,2018,7,3,July,United Kingdom,885225.0,5.96
UK_TOTAL,United Kingdom,2018 Aug,2018-08-01,1006409.0,households,2018,8,3,August,United Kingdom,937976.0,7.3
UK_TOTAL,United Kingdom,2018 Sep,2018-09-01,1094980.0,households,2018,9,3,September,United Kingdom,1006409.0,8.8
UK_TOTAL,United Kingdom,2018 Oct,2018-10-01,1175651.0,households,2018,10,4,October,United Kingdom,1094980.0,7.37
UK_TOTAL,United Kingdom,2018 Nov,2018-11-01,1265215.0,households,2018,11,4,November,United Kingdom,1175651.0,7.62
UK_TOTAL,United Kingdom,2018 Dec,2018-12-01,1389393.0,households,2018,12,4,December,United Kingdom,1265215.0,9.81
UK_TOTAL,United Kingdom,2019 Jan,2019-01-01,1471234.0,households,2019,1,1,January,United Kingdom,1389393.0,5.89
UK_TOTAL,United Kingdom,2019 Feb,2019-02-01,1561590.0,households,2019,2,1,February,United Kingdom,1471234.0,6.14
UK_TOTAL,United Kingdom,2019 Mar,2019-03-01,1653205.0,households,2019,3,1,March,United Kingdom,1561590.0,5.87
UK_TOTAL,United Kingdom,2019 Apr,2019-04-01,1749082.0,households,2019,4,2,April,United Kingdom,1653205.0,5.8
UK_TOTAL,United Kingdom,2019 May,2019-05-01,1820786.0,households,2019,5,2,May,United Kingdom,1749082.0,4.1
UK_TOTAL,United Kingdom,2019 Jun,2019-06-01,1921540.0,households,2019,6,2,June,United Kingdom,1820786.0,5.53
UK_TOTAL,United Kingdom,2019 Jul,2019-07-01,2006173.0,households,2019,7,3,July,United Kingdom,1921540.0,4.4
UK_TOTAL,United Kingdom,2019 Aug,2019-08-01,2086816.0,households,2019,8,3,August,United Kingdom,2006173.0,4.02
UK_TOTAL,United Kingdom,2019 Sep,2019-09-01,2181322.0,households,2019,9,3,September,United Kingdom,2086816.0,4.53
UK_TOTAL,United Kingdom,2019 Oct,2019-10-01,2257844.0,households,2019,10,4,October,United Kingdom,2181322.0,3.51
UK_TOTAL,United Kingdom,2019 Nov,2019-11-01,2343563.0,households,2019,11,4,November,United Kingdom,2257844.0,3.8
UK_TOTAL,United Kingdom,2019 Dec,2019-12-01,2404766.0,households,2019,12,4,December,United Kingdom,2343563.0,2.61
UK_TOTAL,United Kingdom,2020 Jan,2020-01-01,2454589.0,households,2020,1,1,January,United Kingdom,2404766.0,2.07
UK_TOTAL,United Kingdom,2020 Feb,2020-02-01,2575569.0,households,2020,2,1,February,United Kingdom,2454589.0,4.93
UK_TOTAL,United Kingdom,2020 Mar,2020-03-01,2699668.0,households,2020,3,1,March,United Kingdom,2575569.0,4.82
UK_TOTAL,United Kingdom,2020 Apr,2020-04-01,3758567.0,households,2020,4,2,April,United Kingdom,2699668.0,39.22
UK_TOTAL,United Kingdom,2020 May,2020-05-01,4244571.0,households,2020,5,2,May,United Kingdom,3758567.0,12.93
UK_TOTAL,United Kingdom,2020 Jun,2020-06-01,4381219.0,households,2020,6,2,June,United Kingdom,4244571.0,3.22
UK_TOTAL,United Kingdom,2020 Jul,2020-07-01,4483122.0,households,2020,7,3,July,United Kingdom,4381219.0,2.33
UK_TOTAL,United Kingdom,2020 Aug,2020-08-01,4603997.0,households,2020,8,3,August,United Kingdom,4483122.0,2.7
UK_TOTAL,United Kingdom,2020 Sep,2020-09-01,4696326.0,households,2020,9,3,September,United Kingdom,4603997.0,2.01
UK_TOTAL,United Kingdom,2020 Oct,2020-10-01,4764499.0,households,2020,10,4,October,United Kingdom,4696326.0,1.45
UK_TOTAL,United Kingdom,2020 Nov,2020-11-01,4886146.0,households,2020,11,4,November,United Kingdom,4764499.0,2.55
UK_TOTAL,United Kingdom,2020 Dec,2020-12-01,4932279.0,households,2020,12,4,December,United Kingdom,4886146.0,0.94
UK_TOTAL,United Kingdom,2021 Jan,2021-01-01,5003567.0,households,2021,1,1,January,United Kingdom,4932279.0,1.45
UK_TOTAL,United Kingdom,2021 Feb,2021-02-01,5047021.0,households,2021,2,1,February,United Kingdom,5003567.0,0.87
UK_TOTAL,United Kingdom,2021 Mar,2021-03-01,5043933.0,households,2021,3,1,March,United Kingdom,5047021.0,-0.06
UK_TOTAL,United Kingdom,2021 Apr,2021-04-01,5028455.0,households,2021,4,2,April,United Kingdom,5043933.0,-0.31
UK_TOTAL,United Kingdom,2021 May,2021-05-01,4986640.0,households,2021,5,2,May,United Kingdom,5028455.0,-0.83
UK_TOTAL,United Kingdom,2021 Jun,2021-06-01,4954092.0,households,2021,6,2,June,United Kingdom,4986640.0,-0.65
UK_TOTAL,United Kingdom,2021 Jul,2021-07-01,4938302.0,households,2021,7,3,July,United Kingdom,4954092.0,-0.32
UK_TOTAL,United Kingdom,2021 Aug,2021-08-01,4908634.0,households,2021,8,3,August,United Kingdom,4938302.0,-0.6
UK_TOTAL,United Kingdom,2021 Sep,2021-09-01,4873621.0,households,2021,9,3,September,United Kingdom,4908634.0,-0.71
UK_TOTAL,United Kingdom,2021 Oct,2021-10-01,4833084.0,households,2021,10,4,October,United Kingdom,4873621.0,-0.83
UK_TOTAL,United Kingdom,2021 Nov,2021-11-01,4795869.0,households,2021,11,4,November,United Kingdom,4833084.0,-0.77
UK_TOTAL,United Kingdom,2021 Dec,2021-12-01,4768218.0,households,2021,12,4,December,United Kingdom,4795869.0,-0.58
UK_TOTAL,United Kingdom,2022 Jan,2022-01-01,4740291.0,households,2022,1,1,January,United Kingdom,4768218.0,-0.59
UK_TOTAL,United Kingdom,2022 Feb,2022-02-01,4737632.0,households,2022,2,1,February,United Kingdom,4740291.0,-0.06
UK_TOTAL,United Kingdom,2022 Mar,2022-03-01,4715218.0,households,2022,3,1,March,United Kingdom,4737632.0,-0.47
UK_TOTAL,United Kingdom,2022 Apr,2022-04-01,4712796.0,households,2022,4,2,April,United Kingdom,4715218.0,-0.05
UK_TOTAL,United Kingdom,2022 May,2022-05-01,4717244.0,households,2022,5,2,May,United Kingdom,4712796.0,0.09
UK_TOTAL,United Kingdom,2022 Jun,2022-06-01,4747285.0,households,2022,6,2,June,United Kingdom,4717244.0,0.64
UK_TOTAL,United Kingdom,2022 Jul,2022-07-01,4801082.0,households,2022,7,3,July,United Kingdom,4747285.0,1.13
UK_TOTAL,United Kingdom,2022 Aug,2022-08-01,4834853.0,households,2022,8,3,August,United Kingdom,4801082.0,0.7
UK_TOTAL,United Kingdom,2022 Sep,2022-09-01,4869058.0,households,2022,9,3,September,United Kingdom,4834853.0,0.71
UK_TOTAL,United Kingdom,2022 Oct,2022-10-01,4897239.0,households,2022,10,4,October,United Kingdom,4869058.0,0.58
UK_TOTAL,United Kingdom,2022 Nov,2022-11-01,4922576.0,households,2022,11,4,November,United Kingdom,4897239.0,0.52
UK_TOTAL,United Kingdom,2022 Dec,2022-12-01,4952531.0,households,2022,12,4,December,United Kingdom,4922576.0,0.61
UK_TOTAL,United Kingdom,2023 Jan,2023-01-01,4971296.0,households,2023,1,1,January,United Kingdom,4952531.0,0.38
UK_TOTAL,United Kingdom,2023 Feb,2023-02-01,5009945.0,households,2023,2,1,February,United Kingdom,4971296.0,0.78
UK_TOTAL,United Kingdom,2023 Mar,2023-03-01,5029218.0,households,2023,3,1,March,United Kingdom,5009945.0,0.38
UK_TOTAL,United Kingdom,2023 Apr,2023-04-01,5065366.0,households,2023,4,2,April,United Kingdom,5029218.0,0.72
UK_TOTAL,United Kingdom,2023 May,2023-05-01,5087609.0,households,2023,5,2,May,United Kingdom,5065366.0,0.44
UK_TOTAL,United Kingdom,2023 Jun,2023-06-01,5116034.0,households,2023,6,2,June,United Kingdom,5087609.0,0.56
UK_TOTAL,United Kingdom,2023 Jul,2023-07-01,5160124.0,households,2023,7,3,July,United Kingdom,5116034.0,0.86
UK_TOTAL,United Kingdom,2023 Aug,2023-08-01,5197374.0,households,2023,8,3,August,United Kingdom,5160124.0,0.72
UK_TOTAL,United Kingdom,2023 Sep,2023-09-01,5252811.0,households,2023,9,3,September,United Kingdom,5197374.0,1.07
UK_TOTAL,United Kingdom,2023 Oct,2023-10-01,5312306.0,households,2023,10,4,October,United Kingdom,5252811.0,1.13
UK_TOTAL,United Kingdom,2023 Nov,2023-11-01,5371165.0,households,2023,11,4,November,United Kingdom,5312306.0,1.11
UK_TOTAL,United Kingdom,2023 Dec,2023-12-01,5435667.0,households,2023,12,4,December,United Kingdom,5371165.0,1.2
UK_TOTAL,United Kingdom,2024 Jan,2024-01-01,5476619.0,households,2024,1,1,January,United Kingdom,5435667.0,0.75
UK_TOTAL,United Kingdom,2024 Feb,2024-02-01,5562358.0,households,2024,2,1,February,United Kingdom,5476619.0,1.57
UK_TOTAL,United Kingdom,2024 Mar,2024-03-01,5636531.0,households,2024,3,1,March,United Kingdom,5562358.0,1.33
UK_TOTAL,United Kingdom,2024 Apr,2024-04-01,5685845.0,households,2024,4,2,April,United Kingdom,5636531.0,0.87
UK_TOTAL,United Kingdom,2024 May,2024-05-01,5747530.0,households,2024,5,2,May,United Kingdom,5685845.0,1.08
UK_TOTAL,United Kingdom,2024 Jun,2024-06-01,5799485.0,households,2024,6,2,June,United Kingdom,5747530.0,0.9
UK_TOTAL,United Kingdom,2024 Jul,2024-07-01,5864576.0,households,2024,7,3,July,United Kingdom,5799485.0,1.12
UK_TOTAL,United Kingdom,2024 Aug,2024-08-01,5940181.0,households,2024,8,3,August,United Kingdom,5864576.0,1.29
UK_TOTAL,United Kingdom,2024 Sep,2024-09-01,6031681.0,households,2024,9,3,September,United Kingdom,5940181.0,1.54
UK_TOTAL,United Kingdom,2024 Oct,2024-10-01,6087223.0,households,2024,10,4,October,United Kingdom,6031681.0,0.92
UK_TOTAL,United Kingdom,2024 Nov,2024-11-01,6165355.0,households,2024,11,4,November,United Kingdom,6087223.0,1.28
UK_TOTAL,United Kingdom,2024 Dec,2024-12-01,6227670.0,households,2024,12,4,December,United Kingdom,6165355.0,1.01
UK_TOTAL,United Kingdom,2025 Jan,2025-01-01,6276590.0,households,2025,1,1,January,United Kingdom,6227670.0,0.79
UK_TOTAL,United Kingdom,2025 Feb,2025-02-01,6385619.0,households,2025,2,1,February,United Kingdom,6276590.0,1.74
UK_TOTAL,United Kingdom,2025 Mar,2025-03-01,6443343.0,households,2025,3,1,March,United Kingdom,6385619.0,0.9
UK_TOTAL,United Kingdom,2025 Apr,2025-04-01,6513685.0,households,2025,4,2,April,United Kingdom,6443343.0,1.09
UK_TOTAL,United Kingdom,2025 May,2025-05-01,6575050.0,households,2025,5,2,May,United Kingdom,6513685.0,0.94
UK_TOTAL,United Kingdom,2013 May,2013-05-01,21.0,people,2013,5,2,May,United Kingdom,,
UK_TOTAL,United Kingdom,2013 Jun,2013-06-01,144.0,people,2013,6,2,June,United Kingdom,21.0,585.71
UK_TOTAL,United Kingdom,2013 Jul,2013-07-01,295.0,people,2013,7,3,July,United Kingdom,144.0,104.86
